name,norad_id,lat_deg,lon_deg,alt_km,pos_x_km,pos_y_km,pos_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s
IRIDIUM 7,24793,36.99497422528008,-110.75238877926569,775.924660319074,-1594.1666531750534,5490.396923293197,4287.723707383556,0.7068427647068807,-4.456955350041559,5.952645703856978
IRIDIUM 5,24795,66.0031944079998,154.00504512400119,658.2887421754305,2831.8615498115996,550.2222796887846,6398.325433643722,-6.8590707068975725,-0.16344428040253248,3.0216150767653813
IRIDIUM 4,24796,-32.645245466729875,-118.99958030751485,781.5134194204322,-854.5100331243674,5974.298480714413,-3840.517475729962,-1.0937367001879812,3.8757125289451375,6.281439624438674
IRIDIUM 914,24836,-36.99396347345785,-111.31654296090507,769.1751427691745,-1560.2443251275874,5500.541378257126,-4275.940211326365,-1.7587564067092356,4.132827127094315,5.966703726869557
IRIDIUM 16,24841,-72.6905565191486,106.33823318263592,789.2339413506246,1699.1372391715834,-1275.5652997122925,-6824.824390489674,-4.656756226823625,5.405617991586806,-2.171697316398527
IRIDIUM 911,24842,36.07205711031074,90.76243332275493,737.2461089247048,3539.9808720763094,-4548.3005655627,4159.957734501007,3.122645312297594,-3.1090946176804044,-6.056411054937332
IRIDIUM 17,24870,48.11822062360734,120.17966053620106,770.6536240260375,4421.176881540336,-1850.1929637418639,5288.328638589397,5.359089670999321,-1.4945858374889514,-4.991354247690564
IRIDIUM 920,24871,69.58147376544476,-67.29361333838813,771.1602293350223,-2143.467719436292,1259.8805399909832,6683.0188420597815,5.281116304966816,-4.62580948432105,2.556681521048745
IRIDIUM 26,24903,31.821488244493956,-177.76070869688624,770.9197731659015,4714.937842764641,3849.7565894466147,3738.079710911269,-3.3682152284610307,-2.0558170274039806,6.34487274938112
IRIDIUM 22,24907,5.831366105242291,-175.93271686204488,773.8284489174154,5362.299126682429,4678.789735007274,708.6219613304363,-0.8658682843957412,-0.14614377692494074,7.415707946202047
DUMMY MASS 1,24925,51.31189586792553,12.77669812126795,616.2261205323676,-2812.0348519472022,-3346.6174972658396,5443.545225234576,-3.2014032386812,-4.9710939331155375,-4.7032703110495095
DUMMY MASS 2,24926,4.440406384783511,18.696268802259382,609.6840582022849,-3920.2538786311493,-5758.416970002832,547.8170186545912,0.05181792235173612,-0.7562018635698476,-7.516842051127979
IRIDIUM 29,24944,-34.164090644080275,35.827210489634865,783.4200700536902,-1756.6055847588493,-5668.454418803133,-3996.8505126697614,1.748793130961462,3.8052394793342046,-6.174113273795256
IRIDIUM 33,24946,28.72463077101274,-145.35993311895575,783.2581736209893,1983.1634996173873,5966.305949416194,3418.409745456099,-1.6128768858935685,-3.2193789037916027,6.53611362781584
IRIDIUM 28,24948,-18.95664414144341,32.03885430671576,774.0487757172713,-2421.1254977493613,-6320.73531670068,-2303.943760885184,1.3021102709250485,2.0653956995788567,-7.055472547548842
IRIDIUM 36,24967,10.963345452890989,61.7379870244959,767.6324023783969,1075.0789128345946,-6933.738498135419,1348.5245623609171,0.6708136202109066,-1.330476840938184,-7.321362788159566
IRIDIUM 39,25042,-3.5916759914714844,-81.10841858391217,730.5411114335033,-5099.471648490926,4933.829129073788,-429.92300583113916,-0.6279162284482412,-0.030731077113128932,7.463332129148986
IRIDIUM 38,25043,14.059474227296247,-56.54432409540844,766.8445501912806,-6530.313023383185,2313.6460893990466,1742.0982985655169,1.5632847237659167,-1.0597757810157902,7.229002629144933
IRIDIUM 42,25077,-46.93739569413647,-54.90344516472856,788.8649949179706,-4678.491251933874,1502.6877053301807,-5201.6010153686875,-5.345006955293734,1.0074164428925296,5.102321096626326
IRIDIUM 44,25078,72.23866513347824,99.13413030244467,767.734358615807,1594.2983830243234,-1513.1609673681908,6779.042552221074,6.083002565390503,-3.7176904140925795,-2.2568766957997735
IRIDIUM 45,25104,29.35117085029101,-76.60080882508983,504.17512814615213,-4620.285956389639,3822.9591407996477,3366.5835776554113,-3.274569742304605,1.9727307389929585,-6.568288885566146
IRIDIUM 24,25105,-20.01343891224696,147.70925645950956,762.8893283956044,6682.857701430779,556.5854997100224,-2447.11085802371,2.5053324922054583,0.70875710399037,7.001107855699441
IRIDIUM 51,25262,-28.762844175271702,-66.92107697550125,392.96062628294453,-5158.9411053378535,2958.500717619677,-3227.032798296567,2.911567648416613,-2.3197645684397528,-6.7113501288617785
IRIDIUM 57,25273,33.9611697163235,-142.74731024141295,775.5017157546437,1617.0466571101385,5717.45670193569,3971.8329916692546,-1.6518949670853809,-3.844686823033376,6.187584658286447
IRIDIUM 63,25286,52.6456310417087,156.36480754292674,776.5899746839655,4244.9692632373935,1009.0650942198725,5653.274377340465,-5.906129001091077,-0.618682267540751,4.534020336316939
IRIDIUM 69,25319,-69.10671166916347,-6.16170334393614,781.6867362026064,-2213.8735341277907,-1314.3911585572307,-6660.896604664462,6.548976494108495,2.3969428047800094,-2.6529110510141907
IRIDIUM 71,25320,-43.96706669243019,155.6083851848489,772.1181365298705,5016.002247784643,1129.0402203522654,-4954.233443302163,4.8923838939405595,1.761775518457876,5.357787131300824
IRIDIUM 73,25344,71.95018350310967,-75.48678769392276,729.695434182115,-1712.681749625584,1373.0858189542894,6740.059081328302,-6.404904471983279,3.170102667395307,-2.2683360873994824
IRIDIUM 82,25467,67.03875280912699,174.50415756688432,428.3997378192831,2284.5674731463805,1393.3550956869299,6238.755399275622,-6.559425854294498,-2.5755536034418314,3.0206446789561876
